rho [kg/m3], e [J/kg], P [Pa] 
297.65703, 318843.72468, 1526491.32132 
296.02816, 318815.52410, 1524567.46747 
294.41192, 318787.26937, 1522643.61361 
292.80816, 318758.96040, 1520719.75976 
291.21675, 318730.59709, 1518795.90591 
289.63755, 318702.17935, 1516872.05205 
288.07043, 318673.70706, 1514948.19820 
286.51525, 318645.18014, 1513024.34434 
284.97189, 318616.59849, 1511100.49049 
283.44022, 318587.96200, 1509176.63664 
281.92010, 318559.27057, 1507252.78278 
280.41142, 318530.52410, 1505328.92893 
278.91405, 318501.72249, 1503405.07508 
277.42787, 318472.86564, 1501481.22122 
275.95276, 318443.95344, 1499557.36737 
274.48860, 318414.98579, 1497633.51351 
273.03528, 318385.96258, 1495709.65966 
271.59267, 318356.88371, 1493785.80581 
270.16068, 318327.74907, 1491861.95195 
268.73918, 318298.55855, 1489938.09810 
267.32807, 318269.31205, 1488014.24424 
265.92723, 318240.00945, 1486090.39039 
264.53657, 318210.65066, 1484166.53654 
263.15596, 318181.23555, 1482242.68268 
261.78532, 318151.76402, 1480318.82883 
260.42454, 318122.23595, 1478394.97497 
259.07351, 318092.65125, 1476471.12112 
257.73214, 318063.00978, 1474547.26727 
256.40032, 318033.31145, 1472623.41341 
255.07796, 318003.55613, 1470699.55956 
253.76497, 317973.74371, 1468775.70571 
252.46125, 317943.87408, 1466851.85185 
251.16670, 317913.94712, 1464927.99800 
249.88124, 317883.96272, 1463004.14414 
248.60476, 317853.92076, 1461080.29029 
247.33719, 317823.82111, 1459156.43644 
246.07843, 317793.66367, 1457232.58258 
244.82840, 317763.44831, 1455308.72873 
243.58701, 317733.17492, 1453384.87487 
242.35417, 317702.84336, 1451461.02102 
241.12980, 317672.45354, 1449537.16717 
239.91382, 317642.00531, 1447613.31331 
238.70614, 317611.49856, 1445689.45946 
237.50669, 317580.93317, 1443765.60561 
236.31538, 317550.30901, 1441841.75175 
235.13213, 317519.62596, 1439917.89790 
233.95687, 317488.88389, 1437994.04404 
232.78952, 317458.08268, 1436070.19019 
231.63001, 317427.22220, 1434146.33634 
230.47825, 317396.30232, 1432222.48248 
229.33418, 317365.32293, 1430298.62863 
228.19772, 317334.28388, 1428374.77477 
227.06880, 317303.18505, 1426450.92092 
225.94735, 317272.02632, 1424527.06707 
224.83329, 317240.80754, 1422603.21321 
223.72657, 317209.52859, 1420679.35936 
222.62710, 317178.18935, 1418755.50551 
221.53482, 317146.78966, 1416831.65165 
220.44967, 317115.32941, 1414907.79780 
219.37158, 317083.80846, 1412983.94394 
218.30048, 317052.22668, 1411060.09009 
217.23630, 317020.58392, 1409136.23624 
216.17899, 316988.88006, 1407212.38238 
215.12849, 316957.11496, 1405288.52853 
214.08472, 316925.28848, 1403364.67467 
213.04763, 316893.40049, 1401440.82082 
212.01715, 316861.45084, 1399516.96697 
210.99323, 316829.43939, 1397593.11311 
209.97581, 316797.36601, 1395669.25926 
208.96483, 316765.23056, 1393745.40541 
207.96023, 316733.03290, 1391821.55155 
206.96195, 316700.77287, 1389897.69770 
205.96993, 316668.45035, 1387973.84384 
204.98413, 316636.06518, 1386049.98999 
204.00448, 316603.61723, 1384126.13614 
203.03093, 316571.10635, 1382202.28228 
202.06343, 316538.53239, 1380278.42843 
201.10193, 316505.89521, 1378354.57457 
200.14636, 316473.19466, 1376430.72072 
199.19668, 316440.43060, 1374506.86687 
198.25284, 316407.60286, 1372583.01301 
197.31478, 316374.71132, 1370659.15916 
196.38246, 316341.75581, 1368735.30531 
195.45582, 316308.73619, 1366811.45145 
194.53482, 316275.65231, 1364887.59760 
193.61941, 316242.50400, 1362963.74374 
192.70953, 316209.29113, 1361039.88989 
191.80515, 316176.01354, 1359116.03604 
190.90622, 316142.67107, 1357192.18218 
190.01268, 316109.26357, 1355268.32833 
189.12449, 316075.79089, 1353344.47447 
188.24161, 316042.25286, 1351420.62062 
187.36399, 316008.64933, 1349496.76677 
186.49159, 315974.98015, 1347572.91291 
185.62436, 315941.24514, 1345649.05906 
184.76227, 315907.44417, 1343725.20521 
183.90526, 315873.57706, 1341801.35135 
183.05329, 315839.64366, 1339877.49750 
182.20633, 315805.64379, 1337953.64364 
181.36432, 315771.57731, 1336029.78979 
180.52724, 315737.44405, 1334105.93594 
179.69503, 315703.24384, 1332182.08208 
178.86766, 315668.97652, 1330258.22823 
178.04510, 315634.64193, 1328334.37437 
177.22729, 315600.23989, 1326410.52052 
176.41420, 315565.77025, 1324486.66667 
175.60579, 315531.23283, 1322562.81281 
174.80203, 315496.62746, 1320638.95896 
174.00287, 315461.95398, 1318715.10511 
173.20828, 315427.21221, 1316791.25125 
172.41822, 315392.40199, 1314867.39740 
171.63265, 315357.52315, 1312943.54354 
170.85155, 315322.57550, 1311019.68969 
170.07487, 315287.55888, 1309095.83584 
169.30257, 315252.47311, 1307171.98198 
168.53463, 315217.31803, 1305248.12813 
167.77101, 315182.09344, 1303324.27427 
167.01167, 315146.79918, 1301400.42042 
166.25658, 315111.43507, 1299476.56657 
165.50571, 315076.00093, 1297552.71271 
164.75901, 315040.49658, 1295628.85886 
164.01647, 315004.92184, 1293705.00501 
163.27805, 314969.27653, 1291781.15115 
162.54371, 314933.56047, 1289857.29730 
161.81343, 314897.77348, 1287933.44344 
161.08716, 314861.91537, 1286009.58959 
160.36489, 314825.98596, 1284085.73574 
159.64658, 314789.98506, 1282161.88188 
158.93219, 314753.91249, 1280238.02803 
158.22171, 314717.76806, 1278314.17417 
157.51509, 314681.55158, 1276390.32032 
156.81231, 314645.26287, 1274466.46647 
156.11334, 314608.90173, 1272542.61261 
155.41816, 314572.46797, 1270618.75876 
154.72672, 314535.96141, 1268694.90490 
154.03901, 314499.38185, 1266771.05105 
153.35499, 314462.72910, 1264847.19720 
152.67464, 314426.00296, 1262923.34334 
151.99793, 314389.20324, 1260999.48949 
151.32483, 314352.32974, 1259075.63564 
150.65532, 314315.38227, 1257151.78178 
149.98936, 314278.36063, 1255227.92793 
149.32694, 314241.26461, 1253304.07407 
148.66802, 314204.09403, 1251380.22022 
148.01258, 314166.84868, 1249456.36637 
147.36059, 314129.52835, 1247532.51251 
146.71203, 314092.13285, 1245608.65866 
146.06687, 314054.66197, 1243684.80480 
145.42509, 314017.11551, 1241760.95095 
144.78667, 313979.49326, 1239837.09710 
144.15157, 313941.79502, 1237913.24324 
143.51977, 313904.02057, 1235989.38939 
142.89125, 313866.16972, 1234065.53554 
142.26599, 313828.24224, 1232141.68168 
141.64396, 313790.23794, 1230217.82783 
141.02514, 313752.15660, 1228293.97397 
140.40951, 313713.99800, 1226370.12012 
139.79704, 313675.76194, 1224446.26627 
139.18770, 313637.44819, 1222522.41241 
138.58148, 313599.05655, 1220598.55856 
137.97836, 313560.58679, 1218674.70470 
137.37831, 313522.03871, 1216750.85085 
136.78131, 313483.41207, 1214826.99700 
136.18734, 313444.70667, 1212903.14314 
135.59638, 313405.92228, 1210979.28929 
135.00840, 313367.05868, 1209055.43544 
134.42339, 313328.11564, 1207131.58158 
133.84132, 313289.09294, 1205207.72773 
133.26218, 313249.99037, 1203283.87387 
132.68593, 313210.80768, 1201360.02002 
132.11257, 313171.54466, 1199436.16617 
