Density,Energy,s,T,p,c2,dpdrho_e,dpde_rho,cp
396.6364086060496,414715.7190635451,908.081434712703,550.6295826026861,4109012.910516366,27066.954364586716,26292.54843598086,29.64942787218503,2866.1731992294526
396.6364086060496,415719.06354515045,909.9028441218868,551.0936398934335,4138770.1148477746,27276.83794707309,26496.3731014092,29.66656035740467,2861.8751298713037
396.6364086060496,416722.40802675585,911.7227206365659,551.5575714679834,4168544.3917160174,27486.687614827708,26700.160332907733,29.683459484457472,2857.6625764495298
396.6364086060496,417725.75250836124,913.5410672495763,552.021376983851,4198335.508048638,27696.50254209808,26903.909419096795,29.700127375083405,2853.533293234059
396.6364086060496,418729.0969899666,915.3578869462774,552.4850561037996,4228143.232892932,27906.28191087307,27107.619655054667,29.716566133322353,2849.485114070644
396.6364086060496,419732.4414715719,917.1731827045882,552.948608495798,4257967.337398029,28116.02491080088,27311.29034224683,29.732777845593922,2845.515948854526
396.6364086060496,420735.78595317726,918.9869574949674,553.4120338329765,4287807.594798281,28325.730739111073,27514.920788458898,29.748764580779426,2841.6237801902075
396.6364086060496,421739.1304347826,920.7992142804103,553.875331793585,4317663.780394575,28535.39860052721,27718.51030772084,29.764528390304463,2837.8066602262866
396.6364086060496,422742.47491638793,922.6099560164919,554.3385020609428,4347535.6715376275,28745.027707192712,27922.0582202437,29.780071308222386,2834.0627076542623
396.6364086060496,423745.81939799327,924.4191856513675,554.8015443233986,4377423.047610345,28954.61727859379,28125.563852353953,29.795395351299785,2830.390104861744
396.6364086060496,424749.1638795987,926.2269061257587,555.2644582742831,4407325.690010311,29164.1665414812,28329.026536426372,29.810502519102442,2826.787095230968
396.6364086060496,425752.50836120395,928.033120373003,555.7272436118674,4437243.382132806,29373.674729801227,28532.445610826177,29.825394794083113,2823.25198057369
396.6364086060496,426755.8528428093,929.8378313190066,556.1899000393228,4467175.909353965,29583.141084624185,28735.820419848627,29.840074141670602,2819.783118694833
396.6364086060496,427759.19732441474,931.6410418823132,556.6524272646698,4497123.059013052,29792.564854073626,28939.150313659535,29.85454251035851,2816.3789210773366
396.6364086060496,428762.5418060201,933.4427549740718,557.11482500074,4527084.620395906,30001.945293256562,29142.434648236438,29.868801831796485,2813.037850681178
396.6364086060496,429765.8862876254,935.2429734980606,557.5770929651322,4557060.384718336,30211.281664204173,29345.6727853204,29.88285402088244,2809.75841984988
396.6364086060496,430769.23076923075,937.0417003507256,558.0392308801717,4587050.145108905,30420.57323580129,29548.864092356675,29.896700975854078,2806.5391883189
396.6364086060496,431772.5752508361,938.8389384211195,558.501238472861,4617053.696592317,30629.819283725647,29752.007942444852,29.910344578383967,2803.3787613196932
396.6364086060496,432775.9197324415,940.6346905909937,558.9631154748462,4647070.836073276,30839.019090387792,29955.10371428984,29.923786693673325,2800.2757877743566
396.6364086060496,433779.2642140468,942.4289597347553,559.4248616223688,4677101.362319486,31048.171944870475,30158.150792152126,29.937029170547483,2797.228958575831
396.6364086060496,434782.60869565216,944.2217487195024,559.8864766562251,4707145.075945523,31257.277142870178,30361.148565800355,29.950073841552076,2794.2370049489455
396.6364086060496,435785.9531772575,946.0130604050058,560.3479603217294,4737201.779396539,31466.333986641323,30564.096430466245,29.962922523050942,2791.2986968878654
