rho [kg/m3], e [J/kg], P [Pa] 
39.46873, 353356.37154, 756259.25926 
39.38552, 353315.92363, 754985.18519 
39.30239, 353275.41327, 753711.11111 
39.21935, 353234.84024, 752437.03704 
39.13638, 353194.20430, 751162.96296 
39.05350, 353153.50523, 749888.88889 
38.97070, 353112.74282, 748614.81481 
38.88798, 353071.91682, 747340.74074 
38.80535, 353031.02701, 746066.66667 
38.72279, 352990.07317, 744792.59259 
38.64032, 352949.05506, 743518.51852 
38.55792, 352907.97246, 742244.44444 
38.47561, 352866.82512, 740970.37037 
38.39338, 352825.61281, 739696.29630 
38.31123, 352784.33530, 738422.22222 
38.22915, 352742.99236, 737148.14815 
38.14716, 352701.58374, 735874.07407 
38.06525, 352660.10921, 734600.00000 
37.98342, 352618.56852, 733325.92593 
37.90167, 352576.96144, 732051.85185 
37.81999, 352535.28772, 730777.77778 
37.73840, 352493.54712, 729503.70370 
37.65689, 352451.73940, 728229.62963 
37.57545, 352409.86431, 726955.55556 
37.49409, 352367.92160, 725681.48148 
37.41281, 352325.91102, 724407.40741 
37.33161, 352283.83233, 723133.33333 
37.25049, 352241.68527, 721859.25926 
37.16945, 352199.46959, 720585.18519 
37.08848, 352157.18503, 719311.11111 
37.00759, 352114.83135, 718037.03704 
36.92678, 352072.40828, 716762.96296 
36.84604, 352029.91559, 715488.88889 
36.76539, 351987.35298, 714214.81481 
36.68481, 351944.72022, 712940.74074 
36.60430, 351902.01703, 711666.66667 
36.52388, 351859.24316, 710392.59259 
36.44353, 351816.39835, 709118.51852 
36.36325, 351773.48231, 707844.44444 
36.28306, 351730.49480, 706570.37037 
36.20293, 351687.43554, 705296.29630 
36.12289, 351644.30426, 704022.22222 
36.04292, 351601.10069, 702748.14815 
35.96302, 351557.82456, 701474.07407 
35.88320, 351514.47559, 700200.00000 
35.80346, 351471.05350, 698925.92593 
35.72379, 351427.55803, 697651.85185 
35.64419, 351383.98890, 696377.77778 
35.56467, 351340.34581, 695103.70370 
35.48523, 351296.62850, 693829.62963 
35.40586, 351252.83667, 692555.55556 
35.32656, 351208.97005, 691281.48148 
35.24734, 351165.02835, 690007.40741 
35.16819, 351121.01128, 688733.33333 
35.08911, 351076.91855, 687459.25926 
35.01011, 351032.74987, 686185.18519 
34.93118, 350988.50496, 684911.11111 
34.85233, 350944.18351, 683637.03704 
34.77355, 350899.78522, 682362.96296 
34.69484, 350855.30982, 681088.88889 
34.61620, 350810.75698, 679814.81481 
34.53764, 350766.12643, 678540.74074 
34.45915, 350721.41784, 677266.66667 
34.38073, 350676.63093, 675992.59259 
34.30238, 350631.76538, 674718.51852 
34.22411, 350586.82089, 673444.44444 
34.14591, 350541.79715, 672170.37037 
34.06777, 350496.69385, 670896.29630 
33.98972, 350451.51089, 669622.22222 
33.91173, 350406.24754, 668348.14815 
33.83381, 350360.90368, 667074.07407 
33.75596, 350315.47901, 665800.00000 
33.67819, 350269.97320, 664525.92593 
33.60049, 350224.38593, 663251.85185 
33.52285, 350178.71688, 661977.77778 
33.44529, 350132.96573, 660703.70370 
33.36780, 350087.13215, 659429.62963 
33.29038, 350041.21580, 658155.55556 
33.21302, 349995.21637, 656881.48148 
33.13574, 349949.13352, 655607.40741 
33.05853, 349902.96692, 654333.33333 
32.98139, 349856.71623, 653059.25926 
32.90431, 349810.38111, 651785.18519 
32.82731, 349763.96123, 650511.11111 
32.75037, 349717.45623, 649237.03704 
32.67351, 349670.86579, 647962.96296 
32.59671, 349624.18956, 646688.88889 
32.51998, 349577.42718, 645414.81481 
32.44333, 349530.57831, 644140.74074 
32.36673, 349483.64260, 642866.66667 
32.29021, 349436.61969, 641592.59259 
32.21376, 349389.50923, 640318.51852 
32.13737, 349342.31087, 639044.44444 
32.06105, 349295.02423, 637770.37037 
31.98480, 349247.64897, 636496.29630 
31.90862, 349200.18471, 635222.22222 
31.83250, 349152.63110, 633948.14815 
31.75646, 349104.98775, 632674.07407 
31.68048, 349057.25432, 631400.00000 
31.60456, 349009.43041, 630125.92593 
31.52871, 348961.51566, 628851.85185 
31.45293, 348913.50969, 627577.77778 
31.37722, 348865.41212, 626303.70370 
31.30157, 348817.22257, 625029.62963 
31.22599, 348768.94065, 623755.55556 
31.15048, 348720.56599, 622481.48148 
31.07503, 348672.09819, 621207.40741 
30.99965, 348623.53686, 619933.33333 
30.92433, 348574.88161, 618659.25926 
30.84908, 348526.13204, 617385.18519 
30.77390, 348477.28776, 616111.11111 
30.69878, 348428.34837, 614837.03704 
30.62372, 348379.31346, 613562.96296 
30.54873, 348330.18263, 612288.88889 
30.47381, 348280.95547, 611014.81481 
30.39895, 348231.63157, 609740.74074 
30.32416, 348182.21052, 608466.66667 
30.24943, 348132.69191, 607192.59259 
30.17476, 348083.07531, 605918.51852 
30.10016, 348033.36031, 604644.44444 
30.02563, 347983.54648, 603370.37037 
29.95115, 347933.63341, 602096.29630 
29.87675, 347883.62065, 600822.22222 
29.80240, 347833.50779, 599548.14815 
29.72812, 347783.29438, 598274.07407 
29.65390, 347732.97999, 597000.00000 
